City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Wanning,CN,18.8003,110.3967,82.8,83,100,3.8,light rain
192,High Level,CA,58.5169,-117.136,78.91,29,20,9.22,few clouds
193,Gilbues,BR,-9.8317,-45.3439,75.67,39,7,5.01,clear sky
194,Bonavista,CA,48.6499,-53.1147,60.87,80,100,13.35,overcast clouds
195,Kerteminde,DK,55.449,10.6577,58.96,86,100,9.95,overcast clouds
196,Tala,EG,30.6803,30.9429,71.33,76,0,4.63,clear sky
197,Kovdor,RU,67.5662,30.4758,52.34,94,100,8.19,overcast clouds
198,Mason City,US,43.1536,-93.201,84.18,94,100,14.97,thunderstorm with rain
199,Alice Springs,AU,-23.7,133.8833,58.55,31,0,16.11,clear sky
200,Kenai,US,60.5544,-151.2583,62.15,71,21,13.09,few clouds
201,Laishevo,RU,55.4046,49.5504,64.62,77,8,1.99,clear sky
202,Neiafu,TO,-18.65,-173.9833,81.28,78,40,11.5,scattered clouds
203,Atar,MR,20.5169,-13.0499,92.73,32,100,5.82,overcast clouds
204,Balkhash,KZ,46.844,74.9804,68.61,40,40,15.66,scattered clouds
205,Lakhdenpokhya,RU,61.5198,30.1992,53.8,73,100,10.58,overcast clouds
206,Ponta Do Sol,PT,32.6667,-17.1,72.01,72,0,5.1,clear sky
207,Karpogory,RU,64.0019,44.4451,64.85,75,0,8.03,clear sky
208,Kuusamo,FI,65.9667,29.1833,53.64,87,20,11.5,few clouds
209,Kavaratti,IN,10.5669,72.642,80.42,83,100,24.09,overcast clouds
210,Pisco,PE,-13.7,-76.2167,62.65,77,0,4.61,clear sky
211,Isangel,VU,-19.55,169.2667,84.31,74,20,9.22,few clouds
212,Rio Gallegos,AR,-51.6226,-69.2181,33.85,100,75,3.44,fog
213,Te Anau,NZ,-45.4167,167.7167,38.16,94,96,5.66,overcast clouds
214,Zhigansk,RU,66.7697,123.3711,51.93,98,100,6.73,light rain
215,Atuona,PF,-9.8,-139.0333,76.55,78,19,17.07,few clouds
216,Balabac,PH,7.9868,117.0645,82.38,77,100,15.57,overcast clouds
217,Khao Yoi,TH,13.2403,99.8243,84.0,76,100,2.91,overcast clouds
218,Tarata,BO,-17.6167,-66.0167,60.22,70,5,6.76,clear sky
219,Tonantins,BR,-2.8731,-67.8022,74.66,92,79,2.68,broken clouds
220,Arman,RU,59.7,150.1667,60.26,74,13,6.69,few clouds
221,Yazman,PK,29.1212,71.7446,91.36,53,43,2.86,scattered clouds
222,Oussouye,SN,12.485,-16.5469,78.89,93,100,6.69,overcast clouds
223,Mahebourg,MU,-20.4081,57.7,68.29,88,40,11.5,scattered clouds
224,Brae,GB,60.3964,-1.353,54.64,98,100,13.85,light rain
225,Haines Junction,CA,60.7522,-137.5108,64.35,39,100,10.36,overcast clouds
226,Beloha,MG,-25.1667,45.05,60.89,94,48,2.55,scattered clouds
227,Vila Velha,BR,-20.3297,-40.2925,71.55,86,75,6.91,broken clouds
228,Batemans Bay,AU,-35.7167,150.1833,56.1,48,9,6.17,clear sky
229,Pangnirtung,CA,66.1451,-65.7125,43.86,88,93,1.97,overcast clouds
