City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Winnemucca,US,87.85,clear sky,40.973,-117.7357,Winners Inn Casino
448,Komsomolskiy,UZ,76.78,clear sky,40.4272,71.7189,Ikathouse
450,Wahiawa,US,86.32,light rain,21.5028,-158.0236,The Inn At Schofield
451,Bumba,CD,71.1,overcast clouds,2.1833,22.4667,Père Carlos
452,Soe,ID,74.8,broken clouds,-9.8607,124.284,Dena Hotel
453,Gourcy,BF,79.56,few clouds,13.2167,-2.35,Auberge Gourcy
461,Waddan,LY,78.78,clear sky,29.1614,16.139,محل الشريف محمد العايب
462,Bontang,ID,76.51,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
463,Pagatin,PH,82.18,moderate rain,6.9731,124.4753,Ledsbong Butilen Datu Salibo Maguindanao
464,Saint-Georges,GD,79.66,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
469,Ko Samui,TH,83.43,overcast clouds,9.5357,99.9357,The Passage
470,Buritis,BR,73.76,clear sky,-15.6178,-46.4233,Hotel Rainha do Vale
471,Pangkalanbuun,ID,80.2,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
472,Kurchum,KZ,70.75,clear sky,48.5722,83.6542,"""Kneda"" Hotel"
481,Harper,LR,73.15,clear sky,4.375,-7.7169,Screensaver
484,Shelburne,CA,78.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
485,Porto Santo,PT,70.18,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
486,Pokhara,NP,74.01,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
488,Nazira,IN,81.25,clear sky,26.9167,94.7333,Hotel Villa & Restaurant Fruition
489,Ormara,PK,80.98,moderate rain,25.2088,64.6357,Kenara Colony House for Rent
491,Grand-Santi,GF,78.46,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
492,Manicore,BR,78.73,clear sky,-5.8092,-61.3003,Hotel Durval
493,Finschhafen,PG,85.05,overcast clouds,-6.6024,147.8681,Cossam Guest House
494,Evansville,US,82.63,broken clouds,37.9748,-87.5558,Le Merigot Hotel
499,Lazurne,UA,75.43,clear sky,46.084,32.5295,New Manna Hostel
502,Buchanan,LR,75.29,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
503,Bartica,GY,79.12,clear sky,6.4,-58.6167,Sloth Island Nature Resort
504,Rudsar,IR,76.96,scattered clouds,37.1376,50.288,Hotel Bahar
507,Saraland,US,87.06,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
508,Suluq,LY,77.61,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
509,Brokopondo,SR,78.84,overcast clouds,4.75,-55.1667,Matu Island
510,Medea,DZ,70.99,clear sky,36.2642,2.7539,Hôtel M'Sallah
514,Huilong,CN,88.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
515,Sidi Ali,DZ,75.65,clear sky,36.0998,0.4206,Complexe touristique haje bezine
518,Alappuzha,IN,77.0,broken clouds,9.49,76.3264,Panoramic Sea Resort
521,Zhanaozen,KZ,80.65,overcast clouds,43.3,52.8,K.korabay 28A
523,Jabinyanah,TN,81.43,clear sky,35.035,10.9081,maison belmabrouk
524,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
527,Seminole,US,86.22,clear sky,28.7086,-81.2081,The Oviedo Lodge Motel
536,Liuzhou,CN,82.65,broken clouds,24.3126,109.3892,Linjiang Inn
537,Vung Tau,VN,79.84,overcast clouds,10.346,107.0843,Seaside Resort
539,Burns Lake,CA,75.02,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
541,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
543,Hirara,JP,84.22,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
544,Jaciara,BR,77.23,overcast clouds,-15.9653,-54.9683,Taba Hotel
546,Darnah,LY,79.2,clear sky,32.767,22.6367,فندق الفردوس
547,Mantua,IT,78.04,overcast clouds,45.1667,10.7833,Hotel la Favorita
548,Russell,US,82.0,few clouds,32.3502,-85.1999,Macs
551,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
552,Tabou,CI,73.56,clear sky,4.423,-7.3528,hotêl doufoulougou
553,Seoul,KR,85.39,moderate rain,37.5683,126.9778,LOTTE HOTEL SEOUL
554,Wajir,KE,70.43,overcast clouds,1.7471,40.0573,Mahatallah Hotel
558,Morada Nova,BR,75.33,broken clouds,-5.1067,-38.3725,PIZZARIA MARIANA
561,Pantai Remis,MY,80.01,overcast clouds,4.4557,100.6288,Leisure Homestay
567,Xining,CN,71.04,broken clouds,36.6167,101.7667,Super Leisure Hotel
570,Khed,IN,77.09,overcast clouds,17.7167,73.3833,Swagat Lodge
572,Zhuanghe,CN,77.34,light rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
573,Parvatsar,IN,84.04,overcast clouds,26.8833,74.7667,Shree Hotel
574,Powell River,CA,83.03,clear sky,49.8496,-124.5361,Rodmay Hotel
575,Ewa Beach,US,89.55,clear sky,21.3156,-158.0072,Base Lodging
576,Muli,MV,81.81,light rain,2.9167,73.5667,Medhufushi Island Resort
577,San Lawrenz,MT,80.85,clear sky,36.0553,14.204,San Andrea Hotel
578,Korla,CN,83.93,broken clouds,41.7597,86.1469,Gulisitan Hotel
581,Lodwar,KE,79.5,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
582,Mayo,US,84.2,clear sky,38.8876,-76.5119,Resorts Resource Group International
583,Gamboma,CG,79.61,broken clouds,-1.8764,15.8644,Residence N'Keni
587,Kamariotissa,GR,77.67,clear sky,40.4833,25.4667,Niki Beach
588,Paragominas,BR,76.24,overcast clouds,-2.9667,-47.4833,INOVA
589,Miaga,PH,75.02,overcast clouds,12.2376,123.8167,Magcaraguit Resort
590,Guangyuan,CN,84.13,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
591,Porbandar,IN,81.32,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
593,Puerto Plata,DO,82.24,few clouds,19.7934,-70.6884,Be Live Collection Marien
594,Saint Anthony,US,73.49,light intensity drizzle,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
595,Barda,AZ,75.42,broken clouds,40.3744,47.1267,Prins Motel Restoran
598,Touros,BR,74.82,clear sky,-5.1989,-35.4608,INN NEW HORIZON
602,Waingapu,ID,79.52,clear sky,-9.6567,120.2641,Pondok Wisata Elim
603,Kieta,PG,84.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
604,Manggar,ID,81.45,broken clouds,-2.8833,108.2667,Guest Hotel
605,Saint-Gabriel,CA,74.41,overcast clouds,46.3001,-73.3824,Auberge Le St Gab
611,Sabang,ID,81.52,overcast clouds,5.8933,95.3214,Hotel Citra
612,Mogadishu,SO,75.34,overcast clouds,2.0371,45.3438,Hotel Juba
613,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
615,Sinnamary,GF,78.84,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
616,Ciudad Bolivar,VE,83.7,scattered clouds,8.1222,-63.5497,Hotel Edi
617,Mareeba,AU,78.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
618,Madras,IN,82.38,mist,13.0878,80.2785,"Taj Connemara, Chennai"
620,Jian,CN,89.51,clear sky,27.1172,114.9793,Luling International Hotel
